1.000000000000000000e+00	1.329316867057984190e-17
8.821936526321846328e-01	-8.400154859884954861e-03
5.858612056006703428e-01	-2.832467767740978748e-02
2.522249956698476847e-01	-4.214571786260637443e-02
3.277625546509910226e-02	-2.546213169204517707e-02
2.753112374899246984e-02	3.126555836422481582e-02
2.477750043301522043e-01	7.652071786260636332e-02
5.877869720662597386e-01	6.444653988091485208e-02
8.838507904867932696e-01	2.247676969096672889e-02
1.000000000000000000e+00	-1.329316867057984190e-17
