x, y
1.000000000000000000e+00,1.329316867057984190e-17
9.989839614114613964e-01,-7.383426001411410602e-05
9.959401834985663893e-01,-2.948383881242067767e-04
9.908816546156893335e-01,-6.615346653282015753e-04
9.838299385221730420e-01,-1.171519096736562977e-03
9.748150508975471640e-01,-1.821543155565362362e-03
9.638752898499938215e-01,-2.607615653043366538e-03
9.510570234997763883e-01,-3.525113407656637905e-03
9.364144381993205757e-01,-4.568887829998948685e-03
9.200092511897586256e-01,-5.733354074147765586e-03
9.019103914935460153e-01,-7.012550103157042143e-03
8.821936526321848548e-01,-8.400154859884965269e-03
8.609413203862410491e-01,-9.889457624128693974e-03
8.382417783466121763e-01,-1.147327439168720209e-02
8.141890935146376407e-01,-1.314381147986688064e-02
7.888825837676668451e-01,-1.489248124298151593e-02
7.624263686813368412e-01,-1.670967943302871517e-02
7.349289050395945155e-01,-1.858453801675002265e-02
7.065025083960586594e-01,-2.050467082593880608e-02
6.772628622779487406e-01,-2.245593197564881363e-02
6.473285170223235241e-01,-2.442220829649958957e-02
6.168203807553483964e-01,-2.638526693174108456e-02
5.858612056006704538e-01,-2.832467767740980483e-02
5.545750727523639512e-01,-3.021782662385659110e-02
5.230868804872869093e-01,-3.204003331814878064e-02
4.915218394430139748e-01,-3.376477823255091826e-02
4.600049794878949272e-01,-3.536404109964962073e-02
4.286606722195453467e-01,-3.680874402870706191e-02
3.976315557427695380e-01,-3.806967936153757281e-02
3.672537791390941830e-01,-3.919123321735237808e-02
3.374141086275380674e-01,-4.019485070006923594e-02
3.082240906389263069e-01,-4.104500207319039529e-02
2.797924666106268998e-01,-4.170658512890765279e-02
2.522249956698476847e-01,-4.214571786260637443e-02
2.256242975538241546e-01,-4.233047371326122132e-02
2.000897039017734969e-01,-4.223152814394805221e-02
1.757171054692363565e-01,-4.182268994474117735e-02
1.525987832310509440e-01,-4.108129673564434037e-02
1.308232127726627614e-01,-3.998846137729013261e-02
1.104748337483358739e-01,-3.852916394329915922e-02
9.163377935061824131e-02,-3.669219211301653905e-02
7.437556445603756006e-02,-3.446994083932728575e-02
5.877073510114926708e-02,-3.185808948381927547e-02
4.488448588452252641e-02,-2.885518088477674603e-02
3.277625546509915777e-02,-2.546213169204519788e-02
2.249931324128328497e-02,-2.168170650927383342e-02
1.410035230370111983e-02,-1.751798976575090830e-02
7.619104684210864856e-03,-1.297588873543677711e-02
3.087994686586958450e-03,-8.060698770250234943e-03
5.318446859203483645e-04,-2.777757756200740103e-03
-2.838706910543095652e-05,2.828087676033986132e-03
1.440082740328452703e-03,8.512225045117767161e-03
4.942006639394846620e-03,1.422213852294209636e-02
1.046986081089183382e-02,1.993728011642917006e-02
1.800771314421934638e-02,2.562985794866185635e-02
2.753112374899252188e-02,3.126555836422485052e-02
3.900705668340788412e-02,3.680447320941811207e-02
5.239381624392725617e-02,4.220219727609241661e-02
6.764102230898537405e-02,4.741105508355537151e-02
8.468963921954895946e-02,5.238141222401636321e-02
1.034720715088766202e-01,5.706302457719924365e-02
1.239123375515825687e-01,6.140637887227740066e-02
1.459263290626277854e-01,6.536398029814012578e-02
1.694221605854786539e-01,6.889154698941346577e-02
1.943006089605598952e-01,7.194907700020330976e-02
2.204556385800655882e-01,7.450176048782423954e-02
2.477750043301522043e-01,7.652071786260636332e-02
2.761409207835989199e-01,7.798355316710409157e-02
3.054307836679449606e-01,7.887472045634114082e-02
3.355179280550401044e-01,7.918570899371688010e-02
3.662724071708707285e-01,7.891506022319628999e-02
3.975617761920395843e-01,7.806823535791952706e-02
4.290244895071693709e-01,7.671631130972270118e-02
4.607450636553165890e-01,7.495902518523052394e-02
4.926121967221780418e-01,7.282296314159303341e-02
5.244950353364553619e-01,7.033734428917783055e-02
5.562631271486471185e-01,6.753392699836489876e-02
5.877869720662598496e-01,6.444653988091486596e-02
6.189385547540787735e-01,6.111065999073250071e-02
6.495918583059512308e-01,5.756304553493310494e-02
6.796233593139230367e-01,5.384142464790239724e-02
7.089125046058276647e-01,4.998423643071348010e-02
7.373421697330885261e-01,4.603041585074951064e-02
7.647990989291655328e-01,4.201921052354778280e-02
7.911743258035314197e-01,3.799001507159905505e-02
8.163635735698848706e-01,3.398220779094428268e-02
8.402676332105202262e-01,3.003497477517445141e-02
8.627927177188290386e-01,2.618710836985372117e-02
8.838507904867934917e-01,2.247676969096671848e-02
9.033598660375126155e-01,1.894120869547479685e-02
9.212442816414228020e-01,1.561643963988620411e-02
9.374349388704644737e-01,1.253687436796657728e-02
9.518695147868450057e-01,9.734920383853580203e-03
9.644926431660787447e-01,7.240554756961033525e-03
9.752560668433981617e-01,5.080888270512382010e-03
9.841187628741833171e-01,3.279736621918918817e-03
9.910470426470172622e-01,1.857216737186014564e-03
9.960146293322289512e-01,8.293862817215303176e-04
9.990027150604229300e-01,2.079432321210239107e-04
1.000000000000000000e+00,-1.329316867057984190e-17
